"Diện tích","Hướng ban công","Hướng nhà","Mặt tiền","Mức giá","Nội thất","Pháp lý","Số phòng ngủ","Số phòng tắm, vệ sinh","Số tầng","url","Đường vào"
"88 m²",,,,"4 tỷ","Cơ bản","Sổ đỏ/ Sổ hồng","3 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-khuong-viet-phuong-phu-trung-prj-chung-cu-khuong-viet/chinh-chu-ban-ch-88m2-3pn-2wc-ntcb-gia-4-ty-pr42575657",
"55,1 m²","Bắc","Bắc","3,3 m","3,19 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","3 phòng","2 phòng","3 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-hai-phong-phuong-hai-chau_1/-2-5-tang-kiet-300-hua-hen-1-sieu-pham-cuc-dep-pr42532433",
"81 m²",,,,"6,5 tỷ",,"Hợp đồng mua bán","2 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-ben-van-don-phuong-12-prj-saigon-royal-residence/ban-nhanh-goc-81m-noi-that-sieu-dep-ban-cong-rong-gia-6-5-ty-bao-het-pr41057715",
"96 m²",,,,"4,9 tỷ",,,"3 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-nhan-chinh-prj-chung-cu-golden-west/chi-5-2-ty-ban-gap-3-ngu-tai-full-do-view-thanh-p-dep-tro-vay-bank-70-pr41727995",
"30 m²",,,,"8,26 tỷ",,,,,,"https://batdongsan.com.vn/ban-nha-rieng-phuong-o-cho-dua/-2-thang-thang-may-nhap-khau-full-ni-that-sung-6-tang-trung-tam-dng-da-t-cach-pr42575658",
"74 m²","Tây","Tây","4,5 m","9,9 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","3 phòng","5 phòng","3 tầng","https://batdongsan.com.vn/ban-nha-mat-pho-duong-luong-nhu-hoc-phuong-hoa-cuong-nam/gia-sap-ham-9-9ty-thuong-tien-7m5-3-tang-1-tum-3-phong-pr42566739","7,5 m"
"112 m²",,,,"3,75 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","3 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-lien-phuong-phuong-phu-huu-2-prj-the-eastern/-ban-goc-112m2-co-ban-cong-noi-that-dep-gia-3ty250-pr39955399",
"500 m²",,,,"70 tỷ",,,,,,"https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-long-thanh-my-prj-vinhomes-grand-park/chi-3-can-mat-song-so-huu-ben-du-yen-rieng-gia-truc-tiep-chu-dau-tu-vinhomes-pr39381466",
"87 m²",,,,"6,6 tỷ","Đầy đủ nội thất.","Sổ hồng","3 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-ben-van-don-phuong-12-prj-icon-56/chu-ban-3-phong-ngu-icon56-quan-4-87m2-day-du-noi-that-gia-chi-5ty950-pr40865279",
"239 m²","Đông - Bắc","Đông - Nam",,"72 tỷ",,"Sổ đỏ/ Sổ hồng",,,"5 tầng","https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-kinh-do-xa-long-hung-prj-the-empire-vinhomes-ocean-park-2/c-quyen-can-goc-01-i-dien-tttm-vincom-mega-mall-city-pr42335473","20 m"
"100 m²",,,"5 m","1,4 tỷ",,"Sổ đỏ/ Sổ hồng.",,,,"https://batdongsan.com.vn/ban-dat-duong-rung-sac-xa-binh-khanh-1/-nen-sieu-hot-can-gio-1-4-ty-100m2-tho-cu-100-xay-tu-do-pr42503507","6 m"
"63 m²","Bắc","Nam",,"2,6 tỷ",,"Sổ đỏ/ Sổ hồng","2 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-lien-phuong-phuong-phu-huu-2-prj-sky-9/ban-2pn-2wc-9-tang-lai-noi-that-gia-chi-1ty950-pr39346781",
"120 m²",,"Bắc","5 m","750 triệu",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-dat-duong-pham-ngoc-thach-thi-tran-thanh-my-2/chi-voi-750tr-cho-lo-cach-nhua-chinh-don-lam-dong-pr42403322","7 m"
"95 m²",,,,"45 tỷ",,,,,,"https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-an-phu-prj-the-global-city/ban-sieu-lo-lk1-khu-doi-dien-cong-vien-nhac-nuoc-gia-45-ty-dt-95m2-pr42283186",
"33 m²",,,"6,2 m","7,69 tỷ",,"Sổ đỏ/ Sổ hồng","3 phòng","4 phòng","5 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-quy-duc-phuong-thanh-xuan-bac/hiem-co-kho-tim-oto-do-cua-5-tang-view-sieu-xin-7-7-ty-pr42549984","4 m"
"89 m²",,,,"6,9 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","2 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dien-bien-phu-phuong-22-prj-vinhomes-central-park/ban-vinmes-53-7m2-1pn-toa-landmark-6-view-truc-song-pr29013739",
"123,7 m²",,,,"10 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","3 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dien-bien-phu-phuong-22-prj-vinhomes-central-park/ban-vinmes-123-7m2-3pn-toa-6-view-cong-vien-pr29027410",
"77 m²",,,,"46 triệu/m²",,"Sổ đỏ/ Sổ hồng","2 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-huu-nghi-phuong-binh-hoa-prj-the-habitat-binh-duong/dau-tu-ngay-m-nay-sinh-loi-ngay-mai-chi-tu-46-trieu-m-so-gd3-pr42575503",
