"Diện tích","Hướng ban công","Hướng nhà","Mặt tiền","Mức giá","Nội thất","Pháp lý","Số phòng ngủ","Số phòng tắm, vệ sinh","Số tầng","url","Đường vào"
"100 m²","Đông - Nam","Tây - Bắc",,"7 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","3 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-quang-trung-phuong-quang-trung-17-prj-toa-thap-thien-nien-ky-hatay-millennium/chinh-chu-ban-3pn-93m2-quan-ha-dong-gia-4-8-ty-full-noi-that-pr40210590",
"51,1 m²",,,,"8,8 tỷ",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-nha-rieng-duong-tuu-liet-xa-tam-hiep-6/ban-thanh-tri-dien-tich-51-1m2-gia-8-8-ty-pr42567361",
"55 m²",,,"6,8 m","Thỏa thuận",,"Sổ đỏ/ Sổ hồng","6 phòng",,"6 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-minh-khai-phuong-minh-khai/ban-hai-ba-trung-lo-goc-6-tang-kinh-doanh-o-to-tranh-u-pr42567538","12 m"
"40 m²",,,"7 m","13 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","5 phòng","6 phòng","7 tầng","https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-van-khoi-phuong-11-8/hoa-hong-150tr-ban-tien-p11-go-vap-13-ty-pr42567363","15 m"
"90 m²",,,"6 m","23,5 tỷ","Full nội thất","Sổ đỏ/ Sổ hồng","5 phòng",,"6 tầng","https://batdongsan.com.vn/ban-nha-mat-pho-duong-duc-giang-phuong-duc-giang-2/cuc-hot-long-bien-dt-90m2x6t-mt-6m-via-he-da-bong-ha-soc-con-23-5-ty-pr42419583","13,5 m"
"360 m²",,"Đông - Nam","20 m","120 tỷ",,"Sổ đỏ/ Sổ hồng","5 phòng","4 phòng",,"https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-tan-phu-19-prj-my-phu-1/ban-don-lap-1-can-goc-2-mat-tien-dt-22-75-16m-gia-120-ty-so-hong-pr42464746","20 m"
"30 m²",,,,"5,38 tỷ",,"Sổ đỏ/ Sổ hồng","4 phòng","3 phòng","4 tầng","https://batdongsan.com.vn/ban-nha-rieng-phuong-kham-thien/nhinh-5-ty-co-ngay-1-can-cuc-dep-30m2-pho-thien-pr42466086",
"100 m²","Đông - Nam","Tây - Bắc",,"7 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","3 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-quang-trung-phuong-quang-trung-17-prj-toa-thap-thien-nien-ky-hatay-millennium/chinh-chu-ban-3pn-93m2-quan-ha-dong-gia-4-8-ty-full-noi-that-pr40210590",
"51,1 m²",,,,"8,8 tỷ",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-nha-rieng-duong-tuu-liet-xa-tam-hiep-6/ban-thanh-tri-dien-tich-51-1m2-gia-8-8-ty-pr42567361",
"55 m²",,,"6,8 m","Thỏa thuận",,"Sổ đỏ/ Sổ hồng","6 phòng",,"6 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-minh-khai-phuong-minh-khai/ban-hai-ba-trung-lo-goc-6-tang-kinh-doanh-o-to-tranh-u-pr42567538","12 m"
